id,id_user,name,nutriscore,cal,fat,carbo,protein,date,meal
1,5,LINDAHLs KVARG,a,220,0.8,3.7,6.8,2022-05-06,0
2,5,Toranja rosa natural,c,48,0.1,11.0,0.6,2022-05-06,0
3,5,Francesinha com Molho,e,1300,10.0,68.0,63.4,2022-05-06,1
4,5,Milka & Oreo,e,555,34.0,56.0,5.4,2022-05-06,3
5,5,Banana,a,90,0.0,0.0,16.6,2022-05-07,0
7,5,Hacenado +Proteina,a,97,2.9,0.0,10.8,2022-05-07,1
8,5,Massa com carne,a,500,0.0,0.0,0.0,2022-05-07,1
9,5,Hacenado +Proteina,a,97,2.9,0.0,10.8,2022-05-07,3
10,5,LINDAHLs KVARG,a,220,0.8,3.7,6.8,2022-05-09,0
11,5,Hacenado +Proteina,a,97,2.9,0.0,10.8,2022-05-09,0
12,5,Banana,a,90,0.0,0.0,16.6,2022-05-09,1
13,5,Maça,a,52,0.0,0.0,0.0,2022-05-09,1
14,5,BK Whopper,e,233,12.8,25.9,23.8,2022-05-09,1
15,5,Hacenado +Proteina,a,97,2.9,0.0,10.8,2022-05-09,3
16,5,Massa com carne,a,500,0.0,0.0,0.0,2022-05-09,2
17,5,Hacenado +Proteina,a,97,2.9,0.0,10.8,2022-05-14,0
18,5,Croûtons SALADE Nature,d,302,1.9,11.7,1.7,2022-05-14,1
19,5,Massa com carne,a,500,0.0,0.0,0.0,2022-05-14,1
20,5,Maça,a,52,0.0,0.0,0.0,2022-05-14,2
21,5,Banana,a,90,0.0,0.0,16.6,2022-05-14,1
22,5,Pizza Hut Vegan,c,161,14.0,10.0,63.4,2022-05-14,2
23,5,Milka & Oreo,e,555,34.0,56.0,5.4,2022-05-14,3
24,5,Yaos estiko grego,a,46,0.1,4.5,6.8,2022-05-13,0
25,5,Wrap de frango,b,226,8.2,29.0,7.8,2022-05-13,1
26,5,Pizza masa fina,e,242,9.4,30.0,8.8,2022-05-12,2
27,5,Bio Hafer Natur,b,79,3.1,12.0,0.8,2022-05-11,2
